Species,Structure,Axis,Stage,Method,Molecule,Present,C0,C1,C2,C3,Status,WT,Isl2homozygous,Isl2heterozygous,ephrinA2mm,ephrinA5mm,ephrinA2mmA5mm,TKO,Beta2KO,Math5,Source,Notes,Age,plotColour
Mouse,Retina,NT,P1,mRNA,EphA4,1,1.05,0,0,1,Measured,1,1,1,1,1,1,1,1,1,RebeEtal04rela,,,[0.1216 0.4706 0.7059]
Mouse,Retina,NT,P1,mRNA,EphA5,1,0,0.85,1.8,1,Measured,1,1,1,1,1,1,1,1,1,RebeEtal04rela:supplemental,,,[0.6980 0.8745 0.5412]
Mouse,Retina,NT,P1,mRNA,EphA6,1,0,1.64,2.9,1,Measured,1,1,1,1,1,1,1,1,1,RebeEtal04rela:supplemental,,,[0.6510 0.8078 0.8902]
Mouse,Retina,NT,P1,mRNA,EphA3-Isl2,1,1.86,0,0,1,Measured,0,0.4,0,0,0,0,0,0,0,RebeEtal04rela,,,[0.9843 0.6039 0.6]
Mouse,Retina,NT,P1,mRNA,EphA3-Isl2,1,0.93,0,0,1,Measured,0,0,0.4,0,0,0,0,0,0,RebeEtal04rela,,,[0.9843 0.6039 0.6]
Mouse,Retina,NT,P1,mRNA,ephrinA2,1,0.28,0,0,0,FromImage&Schematic,1,1,1,0,1,0,0,1,1,PfeiEtal06ephr,,,[0.1059 0.6196 0.4667]
Mouse,Retina,NT,P1,mRNA,ephrinA3,1,0.09,0,0,0,FromImage&Schematic,1,1,1,1,1,1,0,1,1,PfeiEtal06ephr,,,[0.4588 0.4392 0.7020]
Mouse,Retina,NT,,,ephrinA5,1,0,0.63,2,0,FromSchematic,1,1,1,1,0,0,0,1,1,PfeiEtal06ephr,,,[0.8510 0.3725 0.0078]
Mouse,SC,AP,,,ephrinA3,1,0.05,0,0,1,FromSchematic,1,1,1,1,1,1,0,1,1,PfeiEtal06ephr,,,[0.4588 0.4392 0.7020]
Mouse,SC,AP,,,ephrinA2,1,-0.06,0.35,2,0.8,FromSchematic,1,1,1,0,1,0,0,1,1,FrisEtal98ephr,,,[0.1059 0.6196 0.4667]
Mouse,SC,AP,P1,In-situ,ephrinA5,1,-0.1,0.9,3,1,FromImage,1,1,1,1,0,0,0,1,1,RashEtal05oppo,,,[0.8510 0.3725 0.0078]
Mouse,SC,AP,P1,In-situ,EphA2,0,0,0,0,0,FromText,0,0,0,0,0,0,0,0,0,RashEtal05oppo,,,[1 1 0]
Mouse,SC,AP,P1,In-situ,EphA4,1,0,0.33,0.1,0,FromImage&Text,1,1,1,1,1,1,1,1,1,RashEtal05oppo,,,[0.1216 0.4706 0.7059]
Mouse,SC,AP,P1,In-situ,EphA7,1,0,0.33,1.2,0,FromSchematic,1,1,1,1,1,1,1,1,1,RashEtal05oppo,,,[0.2 0.6275 0.1725]
Mouse,SC,AP,P1,In-situ,EphA3,1,0,0.34,4,0,FromImage&Text,1,1,1,1,1,1,1,1,1,RashEtal05oppo,,,[0.9843 0.6039 0.6]
Mouse,SC,AP,P1,In-situ,EphA5,0,0,0,0,0,FromText,0,0,0,0,0,0,0,0,0,RashEtal05oppo,,,[0.6980 0.8745 0.5412]
Mouse,SC,AP,P1,In-situ,EphA6,0,0,0,0,0,FromText,0,0,0,0,0,0,0,0,0,RashEtal05oppo,,,[0.6510 0.8078 0.8902]
N/A,Retina,DV,,,EphB,1,0,1,1,1,,1,1,1,1,1,1,1,1,1,,,,[0.5 0.5 0.5]
N/A,Retina,DV,,,ephrinB,1,0,1,1,0,,1,1,1,1,1,1,1,1,1,,,,[0.5 0.5 0.5]
N/A,SC,ML,,,ephrinB,1,0,1,1,0,,1,1,1,1,1,1,1,1,1,,,,[0.5 0.5 0.5]
N/A,SC,ML,,,EphB,1,0,1,1,1,,1,1,1,1,1,1,1,1,1,,,,[0.5 0.5 0.5]
