Animal,Age,Separation,NN red,NN green,NN mean,NN norm
gm116-2,0,620,62.3,48.4,55.4,0.55
gm116-3,0,1305,45.9,82.9,64.4,0.64
gm116-5,0,980,47.6,46.6,47.1,0.47
gm119-1,0,445,59.3,47.3,53.3,0.53
gm119-2,0,770,54.9,17.6,36.3,0.36
gm119-3,0,575,15.4,74.6,45,0.45
gm119-4,0,400,48.6,37.1,42.9,0.43
gm121-1,0,650,45.7,61.3,53.5,0.54
gm150-1,0,1200,43,61.1,52.1,0.52
gm150-3,0,1070,67.1,30.6,48.9,0.49
gm156-1,0,1500,46.2,58.9,52.6,0.53
gm156-2,0,1720,24.7,79.2,52,0.52
gm156-3,0,1700,51,73.9,62.5,0.62
gm111-1,2,770,44.6,52,48.3,0.48
gm117-1,2,502,71.6,39.6,55.6,0.56
gm117-2,2,400,64.5,58,61.3,0.61
gm117-4,2,580,38,70.6,54.3,0.54
gm117-5,2,780,21.4,89.8,55.6,0.56
gm142-1,2,800,78,55.8,66.9,0.67
gm143-2,2,1120,42.1,75.9,59,0.59
gm154-3,2,1171,70.3,46.6,58.5,0.58
gm154-4,2,1384,77.4,66.2,71.8,0.72
gm775-2,2,1495,72.7,66.7,69.7,0.7
gm775-3,2,1622,76.6,78.3,77.5,0.77
m641-4,2,615,58.7,59.7,59.2,0.59
m643-1,2,650,58.6,40.8,49.7,0.5
m643-2,2,900,69.1,26,47.6,0.48
m657-1,2,1250,52.5,80.3,66.4,0.66
m662-1,2,304,48.1,56,52.1,0.52
m662-2,2,1000,55.1,49.2,52.2,0.52
m662-3,2,1359,34.3,45.8,40.1,0.4
gm107-2,4,290,62.2,58,60.1,0.6
gm142-5,4,1212,83.6,84.7,84.2,0.84
m642-1,4,700,70,75.4,72.7,0.73
m642-2,4,308,47.2,47.7,47.5,0.47
m642-4,4,410,48.1,54.7,51.4,0.51
m642-5,4,750,52.7,75.4,64.1,0.64
m642-6,4,980,79.7,75.8,77.7,0.78
m642-7,4,400,46.3,76.2,61.3,0.61
m660-1,4,820,91.6,78.1,84.9,0.85
m660-3,4,300,23.1,86.8,55,0.55
m661-1,4,610,41.2,78.2,59.7,0.6
m661-2,4,680,96.2,60.6,78.4,0.78
m661-3,4,800,87.1,60.6,73.9,0.74
Gm807-1,4,1730,92,97.3,94.7,0.95
Gm807-2,4,1650,89.2,98.3,93.8,0.94
gm112-4,6,200,77.1,82.4,79.8,0.8
gm122-2,6,120,83.9,45.2,64.6,0.65
gm122-4,6,50,42.9,70.8,56.9,0.57
gm125-1,6,416,95.5,82.4,89,0.89
gm125-3,6,100,64,80.5,72.3,0.72
gm125-4,6,304,74.8,91.8,83.3,0.83
gm125-5,6,334,62.5,97.8,80.2,0.8
gm140-4,6,207,50.8,90.6,70.7,0.71
gm140-5,6,114,67.1,78.9,73,0.73
gm141-3,6,205,90,79.6,84.8,0.85
gm141-4,6,50,37.6,55.3,46.5,0.46
gm142-3,6,457,93.8,87.9,90.9,0.91
gm143-1,6,1035,96.2,96.9,96.6,0.97
gm143-3,6,400,83.6,80.2,81.9,0.82
gm143-4,6,400,93.5,68.9,81.2,0.81
gm143-5,6,300,64.9,72.6,68.8,0.69
gm178-1,6,105,96,48.9,72.5,0.72
gm178-3,6,940,96.8,88,92.4,0.92
gm773-2,6,815,100,100,100,1
Gm773-3,6,950,99.4,98.9,99.2,0.99
Gm773-4,6,790,100,99.6,99.8,1
gm138-4,8,80,50.8,59.7,55.3,0.55
gm138-5,8,281,87.9,83.1,85.5,0.86
gm138-6,8,101,78.4,68.9,73.7,0.74
gm141-6,8,40,72.1,41,56.6,0.57
gm141-7,8,195,94.1,65.3,79.7,0.8
gm184-1,8,79,67.2,81.6,74.4,0.74
gm184-2,8,40,65.2,43.4,54.3,0.54
gm184-3,8,128,73.8,76.8,75.3,0.75
gm184-4,8,95,72,84.7,78.4,0.78
gm184-5,8,90,73.8,76.8,75.3,0.75
gm257-1,8,79,69.2,63.4,66.3,0.66
gm257-2,8,154,72.2,45.5,58.9,0.59
gm257-3,8,124,68.3,36.8,52.6,0.53
gm257-4,8,157,91.8,55.9,73.9,0.74
gm257-5,8,156,86.5,38.3,62.4,0.62
gm258-3,8,209,45.8,77.6,61.7,0.62
gm278-3,8,258,81.9,46.9,64.4,0.64
gm278-5,8,156,69.1,62.1,65.6,0.66
gmt188-3,8,292,89.8,82.4,86.1,0.86
gmt191-2,8,521,96.8,94.3,95.6,0.96
gmt191-4,8,350,84.2,78.5,81.4,0.81
gmt199-3,8,190,93,68.4,80.7,0.81
gmt199-9,8,200,69.3,78.2,73.8,0.74
gmt200-5,8,90,65.1,38.9,52,0.52
gmt200-9,8,300,73.1,89.4,81.3,0.81
gmt217-1,8,190,69.4,84.8,77.1,0.77
gmt217-2,8,532,99.6,97.1,98.4,0.98
gmt217-8,8,100,72.8,66.8,69.8,0.7
Gm806-5,8,960,100,100,99,0.99
Gm806-6,8,1152,100,100,99,0.99
Gm806-7,8,450,100,100,99,9.99
gm114-1,12,280,93,89.7,91.4,0.91
gm115-1,12,280,100,100,100,1
gm115-3,12,415,94.3,93.4,93.9,0.94
gm128-2,12,80,79.1,42.4,60.8,0.61
gm128-4,12,176,90.4,92.7,91.6,0.92
gm187-1,12,113,69.5,69.6,69.6,0.7
gm187-2,12,131,57.2,69.5,63.4,0.63
gm187-3,12,122,59,88.7,73.9,0.74
gm187-4,12,148,58.8,83.1,71,0.71
gm187-5,12,101,69.7,74.5,72.1,0.72
gm262-1,12,250,93.2,92.5,92.9,0.93
gm262-4,12,240,96.8,83.3,90.1,0.9
gm264-2,12,366,99.2,98.9,99.1,0.99
gm264-3,12,55,55,45.3,50.2,0.5
gm264-4,12,26,58,41.3,49.7,0.5
gm284-1,12,269,99,100,99.5,1
gm284-4,12,252,81.3,95.2,88.3,0.88
m659-3,12,200,95.7,77.4,86.6,0.87
gm128-7,16,195,74.1,90.1,82.1,0.82
gm128-8,16,150,83.1,62.4,72.8,0.73
gm263-1,16,160,49.1,78.5,63.8,0.64
gm263-2,16,85,75.7,37.9,56.8,0.57
gm263-3,16,212,95.5,100,97.8,0.98
gm263-4,16,250,82.1,92.7,87.4,0.87
gm263-5,16,375,94.3,93.4,93.9,0.94
gm267-2,16,91,40,67,53.5,0.54
gm267-3,16,119,55.8,85.1,70.5,0.7
gm267-5,16,100,44.2,64.8,54.5,0.55
Gm808-1,16,490,98,99.4,98.7,0.99
gm114-4,22,110,67,73.7,70.4,0.7
gm120-1,22,60,63.9,60.9,62.4,0.62
gm120-2,22,150,86.1,92.7,89.4,0.89
gm124-3,22,47,39.7,70.6,55.2,0.55
gm124-5,22,56,58.1,69.7,63.9,0.64
gm130-2,22,89,86.8,53.1,70,0.7
gm262-6,22,388,100,100,100,1
gm773-5,22,198,100,100,100,1
gm773-6,22,510,100,100,100,1
gm119-5,60,180,100,100,100,1
gm122,60,83,70.1,71.6,70.9,0.71
gm126,60,150,93.4,94,93.7,0.94
gm133,60,185,97.1,96.8,97,0.97
gm134,60,37,64.5,53.6,59.1,0.59
gm136,60,64,83.8,36.8,60.3,0.6
gm137,60,128,95.1,83.6,89.4,0.89
gm140,60,345,100,100,100,1
gm150,60,30,78,17.2,47.6,0.48
gm154,60,53,53,54.2,53.6,0.54
gm157,60,90,89.1,75,82.1,0.82
gm247,60,599,100,100,100,1
gm269,60,140,97.3,98.3,97.8,0.98
gm282,60,166,95.3,91.3,93.3,0.93
gm283,60,189,98.6,97,97.8,0.98
gm493,60,64,31.7,76.2,54,0.54
gm508,60,288,100,100,100,1
gm509,60,163,90.8,87.5,89.2,0.89
gm510,60,96,77.9,79.9,78.9,0.79
gm511,60,230,95.3,97.6,96.5,0.96
gm521,60,192,100,100,100,1
gm522,60,134,80,86.8,83.4,0.83
