Animal,Age,Separation,NN red,NN green,NN mean
Gmb389-1,0,516,17.4,60.9,39.2
Gmb389-2,0,342,35.5,59.0,47.3
Gmb390-1,0,642,80.7,24.0,52.4
Gmb390-2,0,768,37.0,64.2,50.6
gmb399-1,0,1151,63.0,47.9,55.5
gmb489-2,0,288,28.4,62.4,45.4
gmb489-3,0,708,62.9,24.0,43.5
gmb489-4,0,227,30.1,58.5,44.3
gmb377-1,2,595,19.10,64.10,41.6
gmb377-2,2,258,51.0,52.3,51.7
gmb377-3,2,223,42.7,61.3,52.0
Gmb389-4,2,907,45.1,54.2,49.7
gmb389-5,2,576,17.5,60.0,38.8
gmb389-6,2,1152,62.0,40.1,51.1
gmb390-5,2,864,56.2,15.7,36.0
gmb372-2,4,576,23.9,62.6,43.3
gmb425-1,4,397,55.6,52.3,54.0
gmb425-2,4,346,67.0,25.2,46.1
gmb425-3,4,576,15.4,74.8,45.1
gmb425-4,4,1171,53.0,60.0,56.5
gmb425-5,4,1536,60.2,40.4,50.3
gmb185-1,8,250,84.4,47.8,66.1
gmb185-2,8,300,52.8,59.2,56.0
gmb194-1,8,100,70.5,41.5,56.0
gmb194-2,8,150,62.8,40.6,51.7
gmb194-3,8,300,54.1,57.1,55.6
gmb194-4,8,150,54.7,44.5,49.6
gmb194-5,8,350,62.7,41.3,52.0
gmb194-6,8,150,59.4,40.9,50.2
gmb325-1,8,769,93.7,63.9,78.8
gmb325-2,8,577,52,59,55.5
gmb195-1,12,150,61.4,47.8,54.6
gmb195-2,12,250,48.0,69.2,58.6
gmb195-3,12,200,54.0,56.1,55.1
gmb195-4,12,250,53.0,61.0,57.0
gmb375-1,12,346,46.7,90.8,68.8
gmb375-2,12,677,91.4,92.8,92.1
gmb195-5,22,161,40.0,58.1,49.1
gmb195-6,22,282,46.6,76.8,61.7
gmb195-7,23,170,50.4,42.8,46.6
gmb499-1,22,192,15.2,74.7,45.0
gmb303,60,202,72.0,52.0,62.0
gmb350,60,104,87.8,25.8,56.8
gmb497,60,384,91.0,20.0,55.5
gmb501,60,384,54.1,89.2,71.7
gmb503,60,270,16.9,79.3,48.1
gmb504,60,291,88.4,50.3,69.4
gmb526,60,192,65.2,27.6,46.4
gmb527,60,260,88.8,19.9,54.4
gmb528,60,518,97.3,87.8,92.6
gmb561,60,308,94.4,28.3,61.4
gmb562,60,186,44.1,39.6,41.9
gmb565,60,408,88.7,79,83.9
